tweet,class,CLEAN_TEXT
!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,2,rt woman shouldnt complain cleaning house amp man always take trash
!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,1,rt boy dats coldtyga dwn bad cuffin dat hoe st place
!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,1,rt dawg rt ever fuck bitch start cry confused shit
!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,1,rt look like tranny
!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,1,rt shit hear might true might faker bitch told
"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",1,shit blows meclaim faithful somebody still fucking hoes
"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",1,sit hate another bitch got much shit going
!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,1,cause im tired big bitches coming us skinny girls
""" &amp; you might not get ya bitch back &amp; thats that """,1,amp might get bitch back amp thats
""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",1,hobbies include fighting mariam bitch
""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",1,keeks bitch curves everyone lol walked conversation like smh
""" Murda Gang bitch its Gang Land """,1,murda gang bitch gang land
""" So hoes that smoke are losers ? "" yea ... go on IG",1,hoes smoke losers yea go ig
""" bad bitches is the only thing that i like """,1,bad bitches thing like
""" bitch get up off me """,1,bitch get
""" bitch nigga miss me with it """,1,bitch nigga miss
""" bitch plz whatever """,1,bitch plz whatever
""" bitch who do you love """,1,bitch love
""" bitches get cut off everyday B """,1,bitches get cut everyday b
""" black bottle &amp; a bad bitch """,1,black bottle amp bad bitch
""" broke bitch cant tell me nothing """,1,broke bitch cant tell nothing
""" cancel that bitch like Nino """,1,cancel bitch like nino
""" cant you see these hoes wont change """,1,cant see hoes wont change
""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",1,fuck bitch dont even suck dick kermit videos bout fuck ig
""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",1,got bitch tip toeing hardwood floors
""" her pussy lips like Heaven doors "" &#128524;",1,pussy lips like heaven doors
""" hoe what its hitting for """,1,hoe hitting
""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",1,met pussy ocean dr gave pussy pill
""" i need a trippy bitch who fuck on Hennessy """,1,need trippy bitch fuck hennessy
""" i spend my money how i want bitch its my business """,1,spend money want bitch business
""" i txt my old bitch my new bitch pussy wetter """,1,txt old bitch new bitch pussy wetter
""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",1,id say im back old old bitches would get excited
""" if you aint bout that Murder Game pussy nigga shut up """,1,aint bout murder game pussy nigga shut
""" if you're toes ain't done you pussy stinks """,1,youre toes aint done pussy stinks
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,1,im done bitter bitches wrap angry bird theres app
""" is that ya bitch """,1,bitch
""" it aint nothing to cut a bitch off """,1,aint nothing cut bitch
""" jus meet son now he ya mane ass bitches "" #Shots",1,jus meet son mane ass bitches
""" lames crying over hoes thats tears of a clown """,1,lames crying hoes thats tears clown
""" like Snoop said in 94 we dont love these hoes """,1,like snoop said dont love hoes
""" momma said no pussy cats inside my doghouse """,2,momma said pussy cats inside doghouse
""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",1,hated hoes favorite
""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",1,nice girls bad make get naughty bad yello hoe real nice body south chick like em real thick
""" pimps up pimps up hoes down "" Future voice",1,pimps pimps hoes future voice
""" post a picture of that pussy get 200 likes """,1,post picture pussy get likes
""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",1,pussy powerful drug
""" quick piece of pussy call it a drive by """,1,quick piece pussy call drive
""" running round here like some brand new pussy thats bout to get fucked """,1,running round like brand new pussy thats bout get fucked
""" these bitches even worst they'll send them guys for you """,1,bitches even worst theyll send guys
""" these hoes like niggas that spend money not talk bout it """,1,hoes like niggas spend money talk bout
